policy,t_block_ms,cdf
No-Selected-Prefetch,0.312457,0.0125
No-Selected-Prefetch,0.322433,0.025
No-Selected-Prefetch,0.325351,0.0375
No-Selected-Prefetch,0.32727,0.05
No-Selected-Prefetch,0.332113,0.0625
No-Selected-Prefetch,0.332694,0.075
No-Selected-Prefetch,0.333852,0.0875
No-Selected-Prefetch,0.34119,0.1
No-Selected-Prefetch,0.344786,0.1125
No-Selected-Prefetch,0.34699,0.125
No-Selected-Prefetch,0.347758,0.1375
No-Selected-Prefetch,0.348206,0.15
No-Selected-Prefetch,0.348801,0.1625
No-Selected-Prefetch,0.34932,0.175
No-Selected-Prefetch,0.350558,0.1875
No-Selected-Prefetch,0.3507,0.2
No-Selected-Prefetch,0.350868,0.2125
No-Selected-Prefetch,0.35308,0.225
No-Selected-Prefetch,0.353248,0.2375
No-Selected-Prefetch,0.353699,0.25
No-Selected-Prefetch,0.353971,0.2625
No-Selected-Prefetch,0.354118,0.275
No-Selected-Prefetch,0.354384,0.2875
No-Selected-Prefetch,0.354634,0.3
No-Selected-Prefetch,0.356714,0.3125
No-Selected-Prefetch,0.35699,0.325
No-Selected-Prefetch,0.357533,0.3375
No-Selected-Prefetch,0.357975,0.35
No-Selected-Prefetch,0.358144,0.3625
No-Selected-Prefetch,0.358407,0.375
No-Selected-Prefetch,0.359604,0.3875
No-Selected-Prefetch,0.359682,0.4
No-Selected-Prefetch,0.36068,0.4125
No-Selected-Prefetch,0.361929,0.425
No-Selected-Prefetch,0.362584,0.4375
No-Selected-Prefetch,0.362669,0.45
No-Selected-Prefetch,0.363257,0.4625
No-Selected-Prefetch,0.363382,0.475
No-Selected-Prefetch,0.363501,0.4875
No-Selected-Prefetch,0.364109,0.5
No-Selected-Prefetch,0.364199,0.5125
No-Selected-Prefetch,0.364628,0.525
No-Selected-Prefetch,0.365115,0.5375
No-Selected-Prefetch,0.365794,0.55
No-Selected-Prefetch,0.366127,0.5625
No-Selected-Prefetch,0.368327,0.575
No-Selected-Prefetch,0.368806,0.5875
No-Selected-Prefetch,0.369874,0.6
No-Selected-Prefetch,0.370126,0.6125
No-Selected-Prefetch,0.370874,0.625
No-Selected-Prefetch,0.37262,0.6375
No-Selected-Prefetch,0.37281,0.65
No-Selected-Prefetch,0.373582,0.6625
No-Selected-Prefetch,0.375157,0.675
No-Selected-Prefetch,0.375285,0.6875
No-Selected-Prefetch,0.375871,0.7
No-Selected-Prefetch,0.379975,0.7125
No-Selected-Prefetch,0.380181,0.725
No-Selected-Prefetch,0.381889,0.7375
No-Selected-Prefetch,0.384963,0.75
No-Selected-Prefetch,0.385136,0.7625
No-Selected-Prefetch,0.386462,0.775
No-Selected-Prefetch,0.388585,0.7875
No-Selected-Prefetch,0.390618,0.8
No-Selected-Prefetch,0.391257,0.8125
No-Selected-Prefetch,0.391471,0.825
No-Selected-Prefetch,0.391542,0.8375
No-Selected-Prefetch,0.39896,0.85
No-Selected-Prefetch,0.399077,0.8625
No-Selected-Prefetch,0.400018,0.875
No-Selected-Prefetch,0.400643,0.8875
No-Selected-Prefetch,0.401461,0.9
No-Selected-Prefetch,0.405045,0.9125
No-Selected-Prefetch,0.405569,0.925
No-Selected-Prefetch,0.406212,0.9375
No-Selected-Prefetch,0.410905,0.95
No-Selected-Prefetch,0.411285,0.9625
No-Selected-Prefetch,0.414553,0.975
No-Selected-Prefetch,0.42541,0.9875
No-Selected-Prefetch,0.430623,1.0
History-Last1,0.0,0.0125
History-Last1,0.0,0.025
History-Last1,0.0,0.0375
History-Last1,0.0,0.05
History-Last1,0.0,0.0625
History-Last1,0.0,0.075
History-Last1,0.063938,0.0875
History-Last1,0.064608,0.1
History-Last1,0.066492,0.1125
History-Last1,0.068511,0.125
History-Last1,0.070332,0.1375
History-Last1,0.072714,0.15
History-Last1,0.07319,0.1625
History-Last1,0.073257,0.175
History-Last1,0.075758,0.1875
History-Last1,0.075983,0.2
History-Last1,0.076566,0.2125
History-Last1,0.077303,0.225
History-Last1,0.07785,0.2375
History-Last1,0.078373,0.25
History-Last1,0.078675,0.2625
History-Last1,0.079035,0.275
History-Last1,0.080736,0.2875
History-Last1,0.080927,0.3
History-Last1,0.081099,0.3125
History-Last1,0.081953,0.325
History-Last1,0.082552,0.3375
History-Last1,0.08292,0.35
History-Last1,0.084046,0.3625
History-Last1,0.084367,0.375
History-Last1,0.084731,0.3875
History-Last1,0.084879,0.4
History-Last1,0.085668,0.4125
History-Last1,0.086158,0.425
History-Last1,0.087236,0.4375
History-Last1,0.08764,0.45
History-Last1,0.088593,0.4625
History-Last1,0.090163,0.475
History-Last1,0.090488,0.4875
History-Last1,0.091381,0.5
History-Last1,0.092428,0.5125
History-Last1,0.09273,0.525
History-Last1,0.093039,0.5375
History-Last1,0.09322,0.55
History-Last1,0.093526,0.5625
History-Last1,0.093677,0.575
History-Last1,0.096082,0.5875
History-Last1,0.096127,0.6
History-Last1,0.096309,0.6125
History-Last1,0.096318,0.625
History-Last1,0.101943,0.6375
History-Last1,0.102144,0.65
History-Last1,0.103242,0.6625
History-Last1,0.103788,0.675
History-Last1,0.105729,0.6875
History-Last1,0.106952,0.7
History-Last1,0.107846,0.7125
History-Last1,0.108663,0.725
History-Last1,0.108796,0.7375
History-Last1,0.111735,0.75
History-Last1,0.114334,0.7625
History-Last1,0.123551,0.775
History-Last1,0.126293,0.7875
History-Last1,0.126899,0.8
History-Last1,0.129866,0.8125
History-Last1,0.13057,0.825
History-Last1,0.131227,0.8375
History-Last1,0.142561,0.85
History-Last1,0.143648,0.8625
History-Last1,0.148263,0.875
History-Last1,0.149877,0.8875
History-Last1,0.15216,0.9
History-Last1,0.159893,0.9125
History-Last1,0.161431,0.925
History-Last1,0.16807,0.9375
History-Last1,0.169073,0.95
History-Last1,0.169523,0.9625
History-Last1,0.170401,0.975
History-Last1,0.173317,0.9875
History-Last1,0.174569,1.0
Past-Frequency,0.0,0.0125
Past-Frequency,0.0,0.025
Past-Frequency,0.0,0.0375
Past-Frequency,0.0,0.05
Past-Frequency,0.0,0.0625
Past-Frequency,0.0,0.075
Past-Frequency,0.0,0.0875
Past-Frequency,0.0,0.1
Past-Frequency,0.0,0.1125
Past-Frequency,0.0,0.125
Past-Frequency,0.061129,0.1375
Past-Frequency,0.0659,0.15
Past-Frequency,0.068299,0.1625
Past-Frequency,0.070359,0.175
Past-Frequency,0.071685,0.1875
Past-Frequency,0.071799,0.2
Past-Frequency,0.072133,0.2125
Past-Frequency,0.072359,0.225
Past-Frequency,0.072816,0.2375
Past-Frequency,0.072965,0.25
Past-Frequency,0.076058,0.2625
Past-Frequency,0.076067,0.275
Past-Frequency,0.077247,0.2875
Past-Frequency,0.07741,0.3
Past-Frequency,0.077684,0.3125
Past-Frequency,0.077891,0.325
Past-Frequency,0.078248,0.3375
Past-Frequency,0.08015,0.35
Past-Frequency,0.081481,0.3625
Past-Frequency,0.082018,0.375
Past-Frequency,0.084008,0.3875
Past-Frequency,0.084189,0.4
Past-Frequency,0.08446,0.4125
Past-Frequency,0.08472,0.425
Past-Frequency,0.085294,0.4375
Past-Frequency,0.0856,0.45
Past-Frequency,0.085606,0.4625
Past-Frequency,0.086097,0.475
Past-Frequency,0.086273,0.4875
Past-Frequency,0.086795,0.5
Past-Frequency,0.087684,0.5125
Past-Frequency,0.08773,0.525
Past-Frequency,0.087731,0.5375
Past-Frequency,0.089006,0.55
Past-Frequency,0.089225,0.5625
Past-Frequency,0.089469,0.575
Past-Frequency,0.089914,0.5875
Past-Frequency,0.089983,0.6
Past-Frequency,0.090104,0.6125
Past-Frequency,0.091355,0.625
Past-Frequency,0.091551,0.6375
Past-Frequency,0.091862,0.65
Past-Frequency,0.092677,0.6625
Past-Frequency,0.093306,0.675
Past-Frequency,0.093877,0.6875
Past-Frequency,0.094354,0.7
Past-Frequency,0.094715,0.7125
Past-Frequency,0.095917,0.725
Past-Frequency,0.097186,0.7375
Past-Frequency,0.097683,0.75
Past-Frequency,0.100205,0.7625
Past-Frequency,0.100309,0.775
Past-Frequency,0.101559,0.7875
Past-Frequency,0.105317,0.8
Past-Frequency,0.105608,0.8125
Past-Frequency,0.112194,0.825
Past-Frequency,0.125188,0.8375
Past-Frequency,0.126607,0.85
Past-Frequency,0.126636,0.8625
Past-Frequency,0.12737,0.875
Past-Frequency,0.129878,0.8875
Past-Frequency,0.133408,0.9
Past-Frequency,0.134685,0.9125
Past-Frequency,0.136092,0.925
Past-Frequency,0.147582,0.9375
Past-Frequency,0.154736,0.95
Past-Frequency,0.169198,0.9625
Past-Frequency,0.172818,0.975
Past-Frequency,0.174788,0.9875
Past-Frequency,0.232668,1.0
Oracle,0.0,0.0125
Oracle,0.0,0.025
Oracle,0.0,0.0375
Oracle,0.0,0.05
Oracle,0.0,0.0625
Oracle,0.0,0.075
Oracle,0.0,0.0875
Oracle,0.0,0.1
Oracle,0.0,0.1125
Oracle,0.0,0.125
Oracle,0.0,0.1375
Oracle,0.0,0.15
Oracle,0.0,0.1625
Oracle,0.0,0.175
Oracle,0.0,0.1875
Oracle,0.0,0.2
Oracle,0.0,0.2125
Oracle,0.0,0.225
Oracle,0.0,0.2375
Oracle,0.0,0.25
Oracle,0.0,0.2625
Oracle,0.0,0.275
Oracle,0.0,0.2875
Oracle,0.0,0.3
Oracle,0.0,0.3125
Oracle,0.0,0.325
Oracle,0.0,0.3375
Oracle,0.0,0.35
Oracle,0.0,0.3625
Oracle,0.0,0.375
Oracle,0.0,0.3875
Oracle,0.0,0.4
Oracle,0.0,0.4125
Oracle,0.0,0.425
Oracle,0.0,0.4375
Oracle,0.0,0.45
Oracle,0.0,0.4625
Oracle,0.0,0.475
Oracle,0.0,0.4875
Oracle,0.0,0.5
Oracle,0.0,0.5125
Oracle,0.0,0.525
Oracle,0.0,0.5375
Oracle,0.0,0.55
Oracle,0.0,0.5625
Oracle,0.0,0.575
Oracle,0.0,0.5875
Oracle,0.0,0.6
Oracle,0.0,0.6125
Oracle,0.0,0.625
Oracle,0.0,0.6375
Oracle,0.0,0.65
Oracle,0.0,0.6625
Oracle,0.0,0.675
Oracle,0.0,0.6875
Oracle,0.0,0.7
Oracle,0.0,0.7125
Oracle,0.0,0.725
Oracle,0.0,0.7375
Oracle,0.0,0.75
Oracle,0.0,0.7625
Oracle,0.0,0.775
Oracle,0.0,0.7875
Oracle,0.0,0.8
Oracle,0.0,0.8125
Oracle,0.0,0.825
Oracle,0.0,0.8375
Oracle,0.0,0.85
Oracle,0.0,0.8625
Oracle,0.0,0.875
Oracle,0.0,0.8875
Oracle,0.0,0.9
Oracle,0.0,0.9125
Oracle,0.0,0.925
Oracle,0.0,0.9375
Oracle,0.0,0.95
Oracle,0.0,0.9625
Oracle,0.0,0.975
Oracle,0.0,0.9875
Oracle,0.0,1.0
