dataset,sample_id,semantic_recall,on_time_recall,latency_saving_ms
gov_report,gov_report/0,0.9027778333333334,0.9027778333333334,0.3084405
gov_report,gov_report/1,0.911111,0.911111,0.2984443333333333
gov_report,gov_report/2,0.8125,0.8125,0.25014099999999995
multi_news,multi_news/0,0.8550001999999999,0.8550001999999999,0.28030120000000003
multi_news,multi_news/1,0.738889,0.738889,0.25698200000000004
multi_news,multi_news/2,0.90625,0.90625,0.29218500000000003
multifieldqa_en,multifieldqa_en/1,0.8375,0.8375,0.26947425
multifieldqa_en,multifieldqa_en/0,0.7666665,0.7666665,0.2511765
multifieldqa_en,multifieldqa_en/2,0.81666675,0.81666675,0.2444445
musique,musique/2,0.8444443333333332,0.8444443333333332,0.2993713333333333
musique,musique/1,0.9,0.9,0.28928125
musique,musique/0,0.8888889999999999,0.8888889999999999,0.28365633333333334
narrativeqa,narrativeqa/0,0.8,0.8,0.24636562500000003
narrativeqa,narrativeqa/1,0.6,0.6,0.18248799999999998
narrativeqa,narrativeqa/2,0.666667,0.666667,0.196102
qmsum,qmsum/2,0.80000025,0.80000025,0.24835449999999998
qmsum,qmsum/1,0.9333333333333332,0.9333333333333332,0.31435599999999997
qmsum,qmsum/0,0.8444443333333332,0.8444443333333332,0.257074
repobench-p,repobench-p/1,0.8444446666666666,0.8444446666666666,0.26809600000000006
repobench-p,repobench-p/2,0.8833335,0.8833335,0.25673825
repobench-p,repobench-p/0,0.8888889999999999,0.8888889999999999,0.2870746666666667
ruler_multikey_alternating,ruler_multikey_alternating/1,0.9,0.9,0.2830735
ruler_multikey_alternating,ruler_multikey_alternating/0,0.88333325,0.88333325,0.27642025
ruler_multikey_alternating,ruler_multikey_alternating/2,0.8999999999999999,0.8999999999999999,0.30394800000000005
