dataset,sample_id,policy,event_count,mean_t_block_ms,mean_semantic_recall,mean_on_time_recall,mean_read_amplification,mean_useful_on_time_bytes,mean_late_useful_bytes,mean_wrong_nvme_bytes,mean_wrong_h2d_bytes,mean_correction_bytes
gov_report,gov_report/0,No-Selected-Prefetch,6,0.3828395,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1004885.3333333334
gov_report,gov_report/0,Random-Same-Volume,6,0.20493683333333335,0.5201388333333333,0.5201388333333333,1.524305,524288.0,0.0,524288.0,524288.0,480597.3333333333
gov_report,gov_report/0,History-Last1,6,0.07439899999999999,0.9027778333333334,0.9027778333333334,1.086805,906581.3333333334,0.0,87381.33333333333,87381.33333333333,98304.0
gov_report,gov_report/0,Past-Frequency,6,0.053699833333333336,0.9354166666666667,0.9354166666666667,1.1090283333333333,939349.3333333334,0.0,109226.66666666667,109226.66666666667,65536.0
gov_report,gov_report/0,Oracle,6,0.0,1.0,1.0,1.0,1004885.3333333334,0.0,0.0,0.0,0.0
gov_report,gov_report/1,No-Selected-Prefetch,3,0.3752663333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
gov_report,gov_report/1,Random-Same-Volume,3,0.2230673333333333,0.511111,0.511111,1.5555566666666667,502442.6666666667,0.0,546133.3333333334,546133.3333333334,480597.3333333333
gov_report,gov_report/1,History-Last1,3,0.076822,0.911111,0.911111,1.08889,895658.6666666666,0.0,87381.33333333333,87381.33333333333,87381.33333333333
gov_report,gov_report/1,Past-Frequency,3,0.077355,0.911111,0.911111,1.1555533333333334,895658.6666666666,0.0,152917.33333333334,152917.33333333334,87381.33333333333
gov_report,gov_report/1,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
gov_report,gov_report/2,No-Selected-Prefetch,1,0.400018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1048576.0
gov_report,gov_report/2,Random-Same-Volume,1,0.205514,0.5,0.5,1.5,524288.0,0.0,524288.0,524288.0,524288.0
gov_report,gov_report/2,History-Last1,1,0.149877,0.8125,0.8125,1.125,851968.0,0.0,131072.0,131072.0,196608.0
gov_report,gov_report/2,Past-Frequency,1,0.126607,0.875,0.875,1.125,917504.0,0.0,131072.0,131072.0,131072.0
gov_report,gov_report/2,Oracle,1,0.0,1.0,1.0,1.0,1048576.0,0.0,0.0,0.0,0.0
multi_news,multi_news/0,No-Selected-Prefetch,5,0.3734132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,996147.2
multi_news,multi_news/0,Random-Same-Volume,5,0.19962359999999998,0.565,0.565,1.488334,563609.6,0.0,484966.4,484966.4,432537.6
multi_news,multi_news/0,History-Last1,5,0.093112,0.8550001999999999,0.8550001999999999,1.1583320000000001,851968.0,0.0,157286.4,157286.4,144179.2
multi_news,multi_news/0,Past-Frequency,5,0.1028394,0.8683332,0.8683332,1.1849979999999998,865075.2,0.0,183500.8,183500.8,131072.0
multi_news,multi_news/0,Oracle,5,0.0,1.0,1.0,1.0,996147.2,0.0,0.0,0.0,0.0
multi_news,multi_news/1,No-Selected-Prefetch,3,0.39023433333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1004885.3333333334
multi_news,multi_news/1,Random-Same-Volume,3,0.19855233333333333,0.5680556666666666,0.5680556666666666,1.47639,567978.6666666666,0.0,480597.3333333333,480597.3333333333,436906.6666666667
multi_news,multi_news/1,History-Last1,3,0.13325233333333333,0.738889,0.738889,1.26111,742741.3333333334,0.0,262144.0,262144.0,262144.0
multi_news,multi_news/1,Past-Frequency,3,0.143653,0.7444443333333334,0.7444443333333334,1.3,742741.3333333334,0.0,305834.6666666667,305834.6666666667,262144.0
