event_id,mode,dataset,sample_id,decode_step,layer_id,head_id,policy,lead_ms,slack_ms,candidate_count,selected_blocks,predicted_blocks,semantic_tp,semantic_fp,semantic_fn
controlled-0,controlled,hit_0,lead_0/rep_0,1,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-1,controlled,hit_0,lead_0/rep_0,1,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-2,controlled,hit_0,lead_0/rep_0,1,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-3,controlled,hit_0,lead_0/rep_1,2,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-4,controlled,hit_0,lead_0/rep_1,2,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-5,controlled,hit_0,lead_0/rep_1,2,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-6,controlled,hit_0,lead_0/rep_2,3,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-7,controlled,hit_0,lead_0/rep_2,3,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-8,controlled,hit_0,lead_0/rep_2,3,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-9,controlled,hit_0,lead_0/rep_3,4,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-10,controlled,hit_0,lead_0/rep_3,4,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-11,controlled,hit_0,lead_0/rep_3,4,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-12,controlled,hit_0,lead_0/rep_4,5,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-13,controlled,hit_0,lead_0/rep_4,5,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-14,controlled,hit_0,lead_0/rep_4,5,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-15,controlled,hit_0,lead_0/rep_5,6,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-16,controlled,hit_0,lead_0/rep_5,6,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-17,controlled,hit_0,lead_0/rep_5,6,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-18,controlled,hit_0,lead_0/rep_6,7,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-19,controlled,hit_0,lead_0/rep_6,7,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-20,controlled,hit_0,lead_0/rep_6,7,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-21,controlled,hit_0,lead_0/rep_7,8,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-22,controlled,hit_0,lead_0/rep_7,8,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-23,controlled,hit_0,lead_0/rep_7,8,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-24,controlled,hit_0,lead_0/rep_8,9,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-25,controlled,hit_0,lead_0/rep_8,9,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-26,controlled,hit_0,lead_0/rep_8,9,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-27,controlled,hit_0,lead_0/rep_9,10,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-28,controlled,hit_0,lead_0/rep_9,10,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-29,controlled,hit_0,lead_0/rep_9,10,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-30,controlled,hit_0,lead_0/rep_10,11,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-31,controlled,hit_0,lead_0/rep_10,11,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-32,controlled,hit_0,lead_0/rep_10,11,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-33,controlled,hit_0,lead_0/rep_11,12,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-34,controlled,hit_0,lead_0/rep_11,12,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-35,controlled,hit_0,lead_0/rep_11,12,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-36,controlled,hit_0,lead_0/rep_12,13,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-37,controlled,hit_0,lead_0/rep_12,13,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-38,controlled,hit_0,lead_0/rep_12,13,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-39,controlled,hit_0,lead_0/rep_13,14,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-40,controlled,hit_0,lead_0/rep_13,14,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-41,controlled,hit_0,lead_0/rep_13,14,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-42,controlled,hit_0,lead_0/rep_14,15,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-43,controlled,hit_0,lead_0/rep_14,15,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-44,controlled,hit_0,lead_0/rep_14,15,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-45,controlled,hit_0,lead_0/rep_15,16,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-46,controlled,hit_0,lead_0/rep_15,16,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-47,controlled,hit_0,lead_0/rep_15,16,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-48,controlled,hit_0,lead_0/rep_16,17,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-49,controlled,hit_0,lead_0/rep_16,17,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
